1,273,-1817,2103,23.0,26.4,352.41,70.0,51.0|0.407
1,272,-1875,2034,23.0,26.4,352.41,70.0,51.0|0.407
1,393,-1921,1989,23.0,26.4,352.41,70.0,51.0|0.407
1,404,-2032,2065,23.0,26.4,352.41,70.0,51.0|0.408
1,272,-2063,2054,23.0,26.4,352.41,70.0,51.0|0.407
1,273,-2172,2104,23.0,26.4,352.41,70.0,51.0|0.41
1,2,-2155,2021,23.0,26.4,352.41,70.0,51.0|0.408
1,402,-2236,1985,23.0,26.4,352.41,70.0,51.0|0.408
1,458,-2388,2043,23.0,26.4,352.41,70.0,51.0|0.407
1,479,-2543,2035,23.0,26.4,352.41,70.0,51.0|0.411
1,500,-2440,2009,23.0,26.4,352.41,70.0,51.0|0.409
1,640,-2658,1958,23.0,26.4,352.41,70.0,51.0|0.407
1,659,-2676,1945,23.0,26.4,352.41,70.0,51.0|0.407
1,649,-2701,17,23.0,26.4,352.41,70.0,51.0|0.409
1,717,-2817,1931,23.0,26.4,352.41,70.0,51.0|0.408
1,787,-2911,1933,23.0,26.4,352.41,70.0,51.0|0.407
1,818,-2925,1941,23.0,26.4,352.41,70.0,51.0|0.407
1,784,-2951,1948,23.0,26.4,352.41,70.0,51.0|0.408
1,3,-2953,1810,23.0,26.4,352.41,70.0,51.0|0.407
1,784,-2952,1948,23.0,26.4,352.41,70.0,51.0|0.408
1,784,-2952,1949,23.0,26.4,352.41,70.0,51.0|0.408
1,943,-3020,1981,23.0,26.4,352.41,70.0,51.0|0.407
1,971,-3053,2012,23.0,26.4,352.41,70.0,51.0|0.408
1,973,-3060,2007,23.0,26.4,352.41,70.0,51.0|0.408
1,972,-3058,2002,23.0,26.4,352.41,70.0,51.0|0.407
1,1013,-3075,1974,23.0,26.4,352.41,70.0,51.0|0.408
1,16,-3150,1945,23.0,26.4,352.41,70.0,51.0|0.407
1,1169,-3174,1944,23.0,26.4,352.41,70.0,51.0|0.408
1,1187,-3197,1943,23.0,26.4,352.41,70.0,51.0|0.409
1,1205,-3310,1943,23.0,26.4,352.41,70.0,51.0|0.406
1,1244,-3312,1943,23.0,26.4,352.41,70.0,51.0|0.409
1,1251,-3178,1943,23.0,26.4,352.41,70.0,51.0|0.407
1,1251,-3178,1943,23.0,26.4,352.41,70.0,51.0|0.409
